symbol,close,timestamp,low,open,high,volume,date
IDI,2.22,1485216000,2.19,2.23,2.23,235630,2017-01-24
IDI,2.24,1485302400,2.2,2.22,2.25,145690,2017-01-25
IDI,2.25,1485993600,2.22,2.27,2.27,40790,2017-02-02
IDI,2.24,1486080000,2.23,2.25,2.25,144910,2017-02-03
IDI,2.24,1486339200,2.23,2.25,2.25,91150,2017-02-06
IDI,2.23,1486425600,2.21,2.25,2.25,194370,2017-02-07
IDI,2.26,1486512000,2.23,2.26,2.27,212770,2017-02-08
IDI,2.23,1486598400,2.22,2.26,2.26,241950,2017-02-09
IDI,2.23,1486684800,2.22,2.23,2.24,124040,2017-02-10
IDI,2.23,1486944000,2.2,2.24,2.25,306730,2017-02-13
IDI,2.27,1487030400,2.23,2.23,2.34,426460,2017-02-14
IDI,2.36,1487116800,2.28,2.28,2.36,336950,2017-02-15
IDI,2.28,1487203200,2.28,2.36,2.36,292320,2017-02-16
IDI,2.28,1487289600,2.27,2.27,2.31,272600,2017-02-17
IDI,2.28,1487548800,2.26,2.27,2.3,317340,2017-02-20
IDI,2.44,1487635200,2.29,2.31,2.44,712380,2017-02-21
IDI,2.35,1487721600,2.27,2.51,2.56,1115480,2017-02-22
IDI,2.34,1487808000,2.32,2.39,2.4,345850,2017-02-23
IDI,2.35,1487894400,2.34,2.37,2.41,503910,2017-02-24
IDI,2.39,1488153600,2.31,2.33,2.39,411820,2017-02-27
IDI,2.39,1488240000,2.34,2.39,2.44,553100,2017-02-28
IDI,2.39,1488326400,2.37,2.38,2.42,388680,2017-03-01
IDI,2.39,1488412800,2.38,2.39,2.42,124400,2017-03-02
IDI,2.33,1488499200,2.32,2.38,2.38,365550,2017-03-03
IDI,2.33,1488758400,2.32,2.32,2.36,345880,2017-03-06
IDI,2.33,1488844800,2.33,2.37,2.37,196760,2017-03-07
IDI,2.45,1488931200,2.33,2.33,2.49,870830,2017-03-08
IDI,2.43,1489017600,2.43,2.47,2.47,237500,2017-03-09
IDI,2.43,1489104000,2.43,2.43,2.47,326260,2017-03-10
IDI,2.38,1489363200,2.38,2.42,2.42,185560,2017-03-13
IDI,2.38,1489449600,2.36,2.36,2.4,266690,2017-03-14
IDI,2.38,1489536000,2.37,2.37,2.4,458920,2017-03-15
IDI,2.4,1489622400,2.38,2.44,2.44,476770,2017-03-16
IDI,2.4,1489708800,2.4,2.44,2.44,278350,2017-03-17
